"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5742","@Smoke Client app login","","2026-04-26","passed","2026-04-26","","ClientAppE2E.spec.js","",""
"","4000","@Smoke More validations","","2026-04-26","passed","2026-04-26","","MoreValidations.spec.js","",""
